"SequenceFeature.primaryIdentifier","SequenceFeature.featureType","SequenceFeature.secondaryIdentifier","SequenceFeature.symbol","SequenceFeature.description","SequenceFeature.sgdAlias","SequenceFeature.qualifier"
"S000005176","ORF","YNL232W","CSL4","Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; predicted to contain an S1 RNA binding domain; human homolog EXOSC1 partially complements yeast csl4 null mutant, and can complement inviability of strain in which expression of CSL4 is repressed","exosome non-catalytic core subunit CSL4|SKI4","Verified"
"S000005177","ORF","YNL233W","BNI4","Targeting subunit for Glc7p protein phosphatase; localized to the bud neck, required for localization of chitin synthase III to the bud neck via interaction with the chitin synthase III regulatory subunit Skt5p; phosphorylation by Slt2p and Kss1p involved in regulating Bni4p in septum assembly","","Verified"
"S000005178","ORF","YNL234W","","Protein of unknown function with similarity to globins; has a functional heme-binding domain; mutant has aneuploidy tolerance; transcription induced by stress conditions; may be involved in glucose signaling or metabolism; regulated by Rgt1","","Verified"
"S000005179","ORF","YNL235C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF SIN4/YNL236W, a subunit of the mediator complex","","Dubious"
"S000005180","ORF","YNL236W","SIN4","Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; contributes to both postive and negative transcriptional regulation; dispensible for basal transcription","BEL2|GAL22|MED16|RYE1|SDI3|SSF5|SSN4|SSX3|TSF3","Verified"
"S000005181","ORF","YNL237W","YTP1","Probable type-III integral membrane protein of unknown function; has regions of similarity to mitochondrial electron transport proteins","","Verified"
"S000005182","ORF","YNL238W","KEX2","Kexin, a subtilisin-like protease (proprotein convertase); a calcium-dependent serine protease involved in the activation of proproteins of the secretory pathway","kexin KEX2|QDS1|SRB1|VMA45|yscF","Verified"
"S000005183","ORF","YNL239W","LAP3","Cysteine aminopeptidase with homocysteine-thiolactonase activity; protects cells against homocysteine toxicity; cytosolic protein, selectively transported to vacuole during nitrogen starvation; has bleomycin hydrolase activity in vitro; transcription is regulated by galactose via Gal4p; orthologous to human BLMH","bleomycin hydrolase|BLH1|GAL6|YCP1","Verified"
"S000005184","ORF","YNL240C","NAR1","Subunit of the cytosolic iron-sulfur (FeS) protein assembly machinery; required for maturation of cytosolic and nuclear FeS proteins and for normal resistance to oxidative stress; deficiency results in shortened lifespan and sensitivity to paraquat; homologous to human Narf","iron-sulfur cluster assembly protein NAR1","Verified"
"S000005185","ORF","YNL241C","ZWF1","Glucose-6-phosphate dehydrogenase (G6PD); catalyzes the first step of the pentose phosphate pathway; involved in adapting to oxidative stress; protein abundance increases in response to DNA replication stress; homolog of human G6PD which is deficient in patients with hemolytic anemia; human G6PD can complement yeast zwf1 null mutant","glucose-6-phosphate dehydrogenase|MET19|POS10","Verified"
"S000005186","ORF","YNL242W","ATG2","Peripheral membrane protein required for autophagic vesicle formation; also required for vesicle formation during pexophagy and the cytoplasm-to-vaucole targeting (Cvt) pathway; involved in Atg9p cycling between the phagophore assembly site and mitochondria; contains an APT1 domain that binds phosphatidylinositol-3-phosphate; essential for cell cycle progression from G2/M to G1 under nitrogen starvation; forms cytoplasmic foci upon DNA replication stress","APG2|AUT8|SPO72","Verified"
"S000005187","ORF","YNL243W","SLA2","Adaptor protein that links actin to clathrin and endocytosis; involved in membrane cytoskeleton assembly and cell polarization; present in the actin cortical patch of the emerging bud tip; dimer in vivo","END4|MOP2","Verified"
"S000005188","ORF","YNL244C","SUI1","Translation initiation factor eIF1; component of complex involved in recognition of initiator codon; modulates translation accuracy at initiation phase by discriminating against suboptimal initiation sites to prevent excessive uORF translation genome-wide","MOF2|RFR1|translation initiation factor eIF1","Verified"
"S000005189","ORF","YNL245C","CWC25","Splicing factor required for the first step of pre-mRNA splicing; binding to the spliceosome requires Prp2p and Yju2p; heat-stable protein; has similarity to S. pombe Cwf25p","U2-type spliceosomal complex subunit CWC25","Verified"
"S000005190","ORF","YNL246W","VPS75","NAP family histone chaperone; binds to histones and Rtt109p, stimulating histone acetyltransferase activity; possesses nucleosome assembly activity in vitro; proposed role in vacuolar protein sorting and in double-strand break repair; protein abundance increases in response to DNA replication stress; relocalizes to the cytosol in response to hypoxia","","Verified"
"S000005191","ORF","YNL247W","CRS1","Cysteinyl-tRNA synthetase; CRS1 has two in-frame start codons resulting in a shorter isoform that is retained in the cytosol and a longer form that is mitochondrial; may interact with ribosomes, based on co-purification experiments; human gene CARS allows growth of the yeast haploid null mutant after sporulation of a heterozygous diploid","cysteine--tRNA ligase","Verified"
"S000005192","ORF","YNL248C","RPA49","RNA polymerase I subunit A49; essential for nucleolar assembly and for high polymerase loading rate; required for nucleolar localization of Rpa34p","A49|DNA-directed RNA polymerase I subunit RPA49","Verified"
"S000005193","ORF","YNL249C","MPA43","Protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies","","Verified"
"S000005194","ORF","YNL250W","RAD50","Subunit of MRX complex with Mre11p and Xrs2p; complex is involved in processing double-strand DNA breaks in vegetative cells, initiation of meiotic DSBs, telomere maintenance, and nonhomologous end joining; forms nuclear foci upon DNA replication stress","MRX complex DNA-binding subunit","Verified"
"S000005195","ORF","YNL251C","NRD1","RNA-binding subunit of Nrd1 complex; complex interacts with exosome to mediate 3'-end formation of some mRNAs, snRNAs, snoRNAs, and CUTs; interacts with CTD of RNA pol II large subunit Rpo21p at phosphorylated Ser5 to direct transcription termination of non-polyadenylated transcripts; H3K4 trimethylation of transcribed regions by Set1p enhances recruitment of Nrd1p to those sites; role in regulation of mitochondrial abundance and cell size","Nrd1 complex RNA-binding subunit","Verified"
"S000005196","ORF","YNL252C","MRPL17","Mitochondrial ribosomal protein of the large subunit","mitochondrial 54S ribosomal protein YmL17/YmL30|mL46|MRPL30|YmL17|YmL30","Verified"
"S000005197","ORF","YNL253W","TEX1","Protein involved in mRNA export; component of the transcription export (TREX) complex","","Verified"
"S000005198","ORF","YNL254C","RTC4","Protein of unknown function; null mutation suppresses cdc13-1 temperature sensitivity; (GFP)-fusion protein localizes to both the cytoplasm and the nucleus","","Verified"
"S000005199","ORF","YNL255C","GIS2","Translational activator for mRNAs with internal ribosome entry sites; associates with polysomes and binds to a specific subset of mRNAs; localizes to RNA processing bodies (P bodies) and to stress granules; may have a role in translation regulation under stress conditions; ortholog of human ZNF9/CNBP, a gene involved in myotonic dystrophy type 2","mRNA-binding translational activator GIS2","Verified"
"S000005200","ORF","YNL256W","FOL1","Multifunctional enzyme of the folic acid biosynthesis pathway; has dihydropteroate synthetase, dihydro-6-hydroxymethylpterin pyrophosphokinase, and dihydroneopterin aldolase activities","trifunctional dihydropteroate synthetase/dihydrohydroxymethylpterin pyrophosphokinase/dihydroneopterin aldolase FOL1","Verified"
"S000005201","ORF","YNL257C","SIP3","Putative sterol transfer protein; has a probable role in retrograde transport of sterols from the plasma membrane to the ER; co-localizes to puncta in the cortical ER with Ysp2p; contains GRAM, StART-like (VASt) and two PH-like domains; one of 6 StART-like domain-containing proteins in yeast that may be involved in sterol transfer between intracellular membranes; conserved across eukaryotes; previously identified as a transcription cofactor that interacts with DNA-bound Snf1p","LAM3","Verified"
"S000005202","ORF","YNL258C","DSL1","Peripheral membrane protein needed for Golgi-to-ER retrograde traffic; mediates Sey1p-independent homotypic ER fusion; forms Dsl1 tethering complex with Sec39p and Tip20p that forms a stable complex with ER SNAREs Sec20p, Ufe1p and Use1p and is functionally conserved from yeast to mammalian cells; component of the ER target site that interacts with coatomer; interacts with different subunits of COPI vesicle coat; interacts with Cin5p; homolog of fly and human ZW10 gene","RNS1","Verified"
"S000005203","ORF","YNL259C","ATX1","Cytosolic copper metallochaperone; transports copper to the secretory vesicle copper transporter Ccc2p for eventual insertion into Fet3p, which is a multicopper oxidase required for high-affinity iron uptake; human homolog ATOX1 can complement yeast atx1 mutant; overexpression of human ATOX1 suppresses lysine auxotrophy of the yeast sod1 null mutant, as does overexpression of yeast ATX1","copper metallochaperone ATX1","Verified"
"S000005204","ORF","YNL260C","LTO1","Substrate-specific adaptor protein involved in apo-Rli1p maturation; subunit of the Yae1-Lto1 complex, recruiting apo-Rli1p to the CIA targeting complex, facilitating the insertion of an Fe/S cluster by the Fe-S biosynthetic machinery; deca-GX3 motif crucial for complex formation; essential for aerobic but not anaerobic growth; homolog of human ORAOV1, which is overexpressed in solid tumors; co-expression of ORAOV1 and YAE1 homolog YAE1D1 restores growth and Rli1p maturation after LTO1 depletion","ribosome biosynthesis protein LTO1","Verified"
"S000005205","ORF","YNL261W","ORC5","Subunit of the origin recognition complex (ORC); ORC directs DNA replication by binding to replication origins and is also involved in transcriptional silencing","origin recognition complex subunit 5","Verified"
"S000005206","ORF","YNL262W","POL2","Catalytic subunit of DNA polymerase (II) epsilon; a chromosomal DNA replication polymerase that exhibits processivity and proofreading exonuclease activity; participates in leading-strand synthesis during DNA replication; also involved in DNA synthesis during DNA repair; interacts extensively with Mrc1p","DNA polymerase epsilon catalytic subunit|DUN2","Verified"
"S000005207","ORF","YNL263C","YIF1","Integral membrane protein; required for the fusion of ER-derived COPII transport vesicles with the Golgi; interacts with Yip1p and Yos1p; localizes to the Golgi, the ER, and COPII vesicles; homolog of human YIPF3","protein transporter YIF1","Verified"
